0	54971.41985574428	7.196015407	6.33160592	6.557588903
1	55021.019146459512	-4.752808657	5.867009684	5.769697119
2	55070.632511623415	3.565573365	4.721538619	5.213408457
3	55120.237236303306	-0.558341589	4.914480663	4.738654769
4	55169.837632196133	-10.915709917	4.373482929	4.258447678
5	55219.448113318278	-6.750348027	5.038971172	5.432785631
6	55269.059157083298	-1.774780396	6.608458663	7.680547245
7	55318.664611591761	-4.847742208	5.825203308	5.993105967
8	55368.279494332441	5.655950372	5.981313227	6.426037374
9	55417.891819871293	12.47727232	6.211006982	7.061103521
11	55517.103303336226	7.158553827	4.492727257	4.490440643
13	55616.317036011445	5.078698147	7.28127644	7.607307192
14	55665.922275654768	1.696330533	4.63387243	5.272674673
16	55765.142374022584	8.783072191	5.446840893	5.245620284
17	55814.747739568196	5.582003875	4.988115174	4.71950924
18	55864.3429425004	-12.253227751	4.810070313	4.974241433
19	55913.968841560771	14.113965185	7.237671187	6.812260422
20	55963.557778397178	-12.744444386	7.082989115	5.571370116
22	56062.775552541869	-9.004584029	4.909819204	5.745268303
23	56112.386630068766	-3.980399296	4.167499377	4.378443518
24	56161.994308354566	-3.851121742	5.407791623	5.218105823
25	56211.603803490561	-1.105579907	5.15780078	5.385528434
26	56261.209717719892	-3.516543669	4.738906001	4.525269467
28	56360.431304387905	5.713350272	6.403099987	6.403045934
29	56410.047995988283	18.821800819	7.670863607	7.654900995
