Global Evidence:    0.366492250311079215E+04  +/-    0.102005932769401023E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Evidence    0.366492250311079215E+04 +/-    0.102005932769401023E+00
Local Evidence    0.366492250311079215E+04 +/-    0.102005932769401023E+00

Dim No.       Mean        Sigma
   1    0.247296385594833606E-01    0.155185248685135464E-01
   2    0.137729775448113560E+05    0.660864187609312285E+04
   3    0.453335510944471998E+00    0.268625898649587413E+00
   4    0.496075771000002632E+02                         NaN
   5    0.549714151699999857E+05                         NaN
   6    0.303387754649767249E+00    0.254613311289492328E+00
   7    0.378505790317712143E+00    0.274913169494735543E+00
   8    0.560129645427033902E+05    0.586168980968174047E+00
   9    0.560627758719430640E+05                         NaN
  10    0.561123866975922720E+05    0.662336912414576966E-02
  11    0.561619942581719224E+05                         NaN
  12    0.562116038768151993E+05    0.358811974040504616E-02
  13    0.562612096729918267E+05                         NaN
  14    0.563109506800484742E+05    0.548909788741973381E+00
  15    0.563604313058952030E+05    0.442157477448116079E-02
  16    0.564100480671791302E+05                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.249779711890081198E-01
   2    0.881257656409565971E+04
   3    0.693147563842640202E+00
   4    0.496075771000000003E+02
   5    0.549714151700000002E+05
   6    0.383776331515232397E-01
   7    0.712642385511740084E+00
   8    0.560126707240838296E+05
   9    0.560627744667948355E+05
  10    0.561123883431116992E+05
  11    0.561619924803377144E+05
  12    0.562116029170880065E+05
  13    0.562612082078079911E+05
  14    0.563108511440578222E+05
  15    0.563604306482091270E+05
  16    0.564100506162762322E+05

MAP Parameters
Dim No.        Parameter
   1    0.249779711890081198E-01
   2    0.881257656409565971E+04
   3    0.693147563842640202E+00
   4    0.496075771000000003E+02
   5    0.549714151700000002E+05
   6    0.383776331515232397E-01
   7    0.712642385511740084E+00
   8    0.560126707240838296E+05
   9    0.560627744667948355E+05
  10    0.561123883431116992E+05
  11    0.561619924803377144E+05
  12    0.562116029170880065E+05
  13    0.562612082078079911E+05
  14    0.563108511440578222E+05
  15    0.563604306482091270E+05
  16    0.564100506162762322E+05
