Global Evidence:    0.404466605793960116E+04  +/-    0.104126251212970020E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Evidence    0.404466605793960116E+04 +/-    0.104126251212970020E+00
Local Evidence    0.404466605793960116E+04 +/-    0.104126251212970020E+00

Dim No.       Mean        Sigma
   1    0.233774747483231141E-01    0.161251340613450880E-01
   2    0.144759451331797281E+05    0.617493337331286784E+04
   3    0.404585354344958070E+00    0.261086366735845510E+00
   4    0.496075771000000145E+02    0.509122765161099969E-05
   5    0.549714151700004149E+05                         NaN
   6    0.376776633107588965E+00    0.266033090762371305E+00
   7    0.416550437556980513E+00    0.276468619909263247E+00
   8    0.554674736399340545E+05    0.609703171224106777E+00
   9    0.555171032983556797E+05    0.365396229177142708E-02
  10    0.556163170921083947E+05    0.507436760029944534E-02
  11    0.556659225210389195E+05    0.338291173353296327E-02
  12    0.557651423212407171E+05                         NaN
  13    0.558147476414533448E+05                         NaN
  14    0.558643429771949741E+05    0.138106793200497573E-02
  15    0.559139686791648783E+05    0.154408088875409156E-02
  16    0.559635573039921946E+05    0.625305101311801614E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.225186767782231470E-01
   2    0.184113783876032103E+05
   3    0.250627367373767340E+00
   4    0.496075771000000003E+02
   5    0.549714151700000002E+05
   6    0.378436049063284374E+00
   7    0.270582125911179860E+00
   8    0.554673519167548293E+05
   9    0.555171032496513799E+05
  10    0.556163175914876047E+05
  11    0.556659218688121546E+05
  12    0.557651423018539208E+05
  13    0.558147480562670025E+05
  14    0.558643430403359889E+05
  15    0.559139689207590854E+05
  16    0.559635583384783822E+05

MAP Parameters
Dim No.        Parameter
   1    0.225186767782231470E-01
   2    0.184113783876032103E+05
   3    0.250627367373767340E+00
   4    0.496075771000000003E+02
   5    0.549714151700000002E+05
   6    0.378436049063284374E+00
   7    0.270582125911179860E+00
   8    0.554673519167548293E+05
   9    0.555171032496513799E+05
  10    0.556163175914876047E+05
  11    0.556659218688121546E+05
  12    0.557651423018539208E+05
  13    0.558147480562670025E+05
  14    0.558643430403359889E+05
  15    0.559139689207590854E+05
  16    0.559635583384783822E+05
